,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,2ek1DpNX6BrSNKTygg9U7C,DJ Shadow,Chill Beats,Six Days,37,302333,False,0.529,0.623,6,-10.141,1,0.0367,0.0597,0.187,0.084,0.735,167.061,4,trip-hop
1,5yaDNf8KGYHCCrEjCW9gNk,Saigon;Corbett;Lecrae,The Greatest Story Never Told Chapter 2: Bread and Circuses,Best Thing That I Found,40,214596,False,0.47,0.776,1,-6.371,0,0.368,0.114,0.0,0.106,0.465,106.572,5,hardcore
2,6EIVLz5xM1xE29r0OmIkWt,Glen Hansard;Markéta Irglová,Music From The Motion Picture Once,Falling Slowly,64,244133,False,0.34,0.209,0,-11.869,1,0.0279,0.679,0.000443,0.101,0.151,137.042,4,songwriter
3,3Q3dm9m4kCaQqGB4pXXn9l,Justin Bieber,Best Christmas Music 2022,Mistletoe,0,183066,False,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,4,pop
4,1O6VIGaM6YDi8Z0lnbebIO,Juan D'Arienzo y su Orquesta Típica,Serie 78 RPM : Juan D'Arienzo Vol.1,Rie Payaso,20,150893,False,0.64,0.458,8,-8.437,1,0.0923,0.978,0.712,0.129,0.87,141.642,4,tango
5,1JnPImcRMLyzAQhIVSEGwW,Kevin Roldan;Bryant Myers;Lyanno,Halloween con perreito,Hasta Abajo,0,229826,False,0.714,0.671,5,-5.119,1,0.362,0.292,0.0,0.325,0.641,169.727,4,latin
6,1WGyC4si6ztHHNVM3gI5VQ,Faime,Closure,Closure,43,188275,True,0.708,0.278,9,-9.354,1,0.035,0.636,1.1e-06,0.115,0.321,87.023,4,chill
7,0vdCC3nYljojfcQEXG81A3,The Sleep Diaries,"Look Through my Eyes (from""Brother Bear"")","Look Through my Eyes (from""Brother Bear"")",20,132334,False,0.312,0.0435,2,-24.635,1,0.044,0.953,0.942,0.108,0.197,74.396,4,disney
8,7f5oFrKcE9ppuwQttuXjpT,Momoiro Clover Z,ZZ's Ⅱ,マホロバケーション -ZZ ver.-,19,266932,False,0.608,0.964,1,-1.158,0,0.0693,0.0367,0.000101,0.252,0.762,144.993,4,j-idol
9,3u2hc0sNfmCGA0OAkyl16u,Juliano Son,Mais um Dia (ao Vivo),Nunca Me Deixou - Ao Vivo,42,362798,False,0.368,0.746,11,-5.454,1,0.0438,0.0768,0.0,0.723,0.161,78.003,4,gospel
10,1wlKw9NAWVWpx7OIAyg9EA,Soundgarden,Superunknown (Deluxe Edition),Fell On Black Days,68,283026,False,0.574,0.739,4,-5.745,0,0.0271,0.00152,0.000328,0.141,0.514,101.069,3,hard-rock
11,4SuBaJVPJ0ttWJBoKwswWX,Dayme y El High;Cazzu;Aleman;Lito Kirino,Lo Tengo,Lo Tengo,43,243356,True,0.818,0.488,7,-8.824,1,0.41,0.681,0.0,0.135,0.577,137.159,4,reggaeton
12,5QjLud8Gx1Vl4G5ykpJBKT,KARLK;Guitk,Crossroads,Daydreamer - Radio Edit,54,184918,False,0.954,0.718,9,-7.05,0,0.0542,0.073,0.000285,0.161,0.682,122.015,4,french
13,7yqbhojjV25ijBnJZB99nE,Popeda,Svoboda,Punaista Ja Makeaa,34,174520,False,0.434,0.321,11,-8.473,1,0.0264,0.239,0.0,0.113,0.273,77.863,4,hard-rock
14,6dQy64lNmMr6BjAmGteXmA,PASSEPIED,娑婆ラバ,贅沢ないいわけ,19,311680,False,0.374,0.9,0,-2.984,1,0.0472,0.000339,0.0129,0.0999,0.411,177.891,4,j-idol
15,19eIZmuXlBmLTha1lPHef7,Stromae;Dubdogz,Alors On Danse (DubDogz Remix),Alors On Danse - DubDogz Remix,70,168576,False,0.789,0.752,1,-4.274,0,0.164,0.027,2.69e-05,0.613,0.739,122.98,4,house
16,58kZ9spgxmlEznXGu6FPdQ,The Chainsmokers,Sick Boy,Sick Boy,69,193200,False,0.663,0.577,11,-7.518,0,0.0531,0.109,0.0,0.12,0.454,89.996,4,electro
17,1HxqiXTBlDUlzWBBvAt4bT,BluntOne;Baen Mow;Phlocalyst,A Day in the Life,Blank Canvas,60,184543,False,0.637,0.156,10,-19.37,0,0.0309,0.521,0.786,0.13,0.233,94.825,4,chill
18,2M9ro2krNb7nr7HSprkEgo,Tracy Chapman,Tracy Chapman,Fast Car,78,296800,False,0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951,4,songwriter
19,0VO8gYVDSwM1Qdd2GsMoYK,Swedish House Mafia;The Weeknd,Paradise Again,Moth To A Flame (with The Weeknd),83,234000,False,0.553,0.659,8,-7.295,1,0.0391,0.0027,0.0,0.105,0.105,120.146,4,electro
20,2AtBtTANT1RAWLyAMq6R2k,Jacky Cheung,走過1999,她來聽我的演唱會,53,292933,False,0.695,0.212,6,-14.412,1,0.0412,0.889,3.86e-05,0.65,0.328,124.072,4,cantopop
21,47U6UBCMwwXkf7saw2VAW3,Terrence Woods,Opus II,Opus II,27,135995,False,0.558,0.246,10,-9.876,0,0.166,0.457,0.43,0.0973,0.453,31.834,4,study
22,3AbeaYvogQfNX6iyK4xrOI,Hofmästarn;Stefan Missios,På moln,Upp & Ner,23,201403,False,0.841,0.506,9,-6.507,1,0.246,0.457,9.28e-06,0.0677,0.738,88.0,4,goth
23,3XWBGyt7m2rZAjEj0awWnw,Mithoon;Arijit Singh,Love Forever With Arijit Singh,"Sanam Re (From ""Sanam Re"")",61,308714,False,0.581,0.71,7,-4.961,0,0.0374,0.395,0.0,0.137,0.755,111.969,4,pop-film
24,35UWbzEKncOdB4Wwe9GaBt,Roger Shah;Sian Evans,Hide U (Jerome Isma-Ae 2022 Remix),Hide U - Jerome Isma-Ae 2022 Remix,45,253548,False,0.628,0.839,0,-8.011,1,0.0481,0.0015,0.497,0.0644,0.156,124.002,4,trance
25,31H6au3jhblhr6MMJiXnCq,Eric Carmen,The Definitive Collection,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",74,251066,False,0.712,0.549,5,-9.484,1,0.0254,0.011,0.0,0.118,0.552,109.882,4,r-n-b
26,3l7JaDIJmWMpvcJqhTJjrk,A.R. Rahman;Vijay Prakash;Suzanne D'Mello;Blaaze,Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack),Hosanna,63,330546,False,0.582,0.812,7,-6.147,1,0.0418,0.166,0.00162,0.0407,0.7,86.051,4,pop-film
27,1sBKqogwlK7aknmIiK1Z5q,Sara Ramirez,Sara Ramirez - EP,Waitin',23,196413,False,0.48,0.544,0,-6.355,0,0.0593,0.219,0.0,0.202,0.214,165.926,4,show-tunes
28,0bFCMD0K7sxkz4qYWjP2Qu,George Lam;David Ling Jr,林子祥 24K Mastersonic Compilation,追憶,19,220000,False,0.54,0.267,10,-11.638,1,0.0278,0.91,3.79e-05,0.0914,0.291,100.842,4,cantopop
29,6u05LGy3D9tleJTdNmbe7e,Charlie Hope,Songs for Little Ones,Little Green Frog,52,111213,False,0.795,0.37,11,-9.798,1,0.0409,0.418,0.000164,0.112,0.832,76.001,4,children
30,7BC0BjgRLdxZ09F735G3u8,Through The Eyes of the Dead,Disomus,Obitual,22,243865,False,0.306,0.95,2,-5.705,1,0.0876,1.45e-05,0.819,0.315,0.097,106.954,4,death-metal
31,66a1vwfr6aNLO2FnoEELMx,Louis Prima;Sam Butera & The Witnesses,pov: you bake cookies,Pennies From Heaven,0,141666,False,0.514,0.408,8,-11.96,1,0.194,0.449,0.0,0.0682,0.915,185.756,4,jazz
32,4FUFk1uJuPtUJrDQ8ZSylK,James Hype;HARLEE,Afraid,Afraid (feat. HARLEE),59,142971,False,0.744,0.78,10,-3.631,0,0.0529,0.101,4.36e-06,0.184,0.762,125.997,4,groove
33,0pZPObivxzE2M6AnzezZWH,Emilio,1996,UNENDLICH,37,159866,False,0.7,0.668,3,-6.407,0,0.236,0.176,0.0,0.179,0.667,92.129,4,german
34,1P5YSdlW0yDkMTxiLGDldP,Chuck Berry,Christmas Faves 2022,Run Rudolph Run,0,162897,False,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues
35,5at70ffs5pTXRs5JYfw8fs,Seafret,Atlantis,Atlantis - Slowed Down Version,61,253400,False,0.439,0.426,6,-8.356,0,0.0299,0.0369,2.3e-06,0.121,0.127,75.011,4,folk
36,1sRL8KvkERifMtMuEkumwx,Sorriso Maroto;Ferrugem,"Ao Cubo, Ao Vivo, Em Cores",Me Arrependi - Ao Vivo,42,190587,False,0.518,0.624,9,-5.107,0,0.0401,0.599,0.0,0.686,0.617,143.791,4,pagode
37,69vMDipMastHvYna7plBdS,Linkin Park,Minutes to Midnight,No More Sorrow,48,221720,False,0.571,0.934,3,-4.22,0,0.0531,0.00316,6.21e-06,0.197,0.409,132.594,4,metal
38,2aX1zws7bVjTLbS1cYZK2W,Scorpions,Fishing Music,Wind Of Change,0,311240,False,0.429,0.63,0,-7.392,1,0.0329,0.078,0.0,0.104,0.211,151.627,4,german
39,5plHkhLqsFla3nUJhtSZ7w,Nicky Lee,好玖,夏天,46,226240,False,0.557,0.726,8,-6.702,1,0.0317,0.594,2.4e-06,0.0686,0.55,94.003,4,mandopop
40,2MTNVoknkbqRIMHMNqs7WC,Los Ovnis,Loco - Vintage Rock en Español,La Última Vez,28,164440,False,0.517,0.686,9,-5.868,1,0.0313,0.67,0.000535,0.0979,0.558,87.773,4,rock-n-roll
41,6r0wE2H5TNHG3cxnaDOhD1,Avslappning Sound,Relaxed Spa,Redemption,34,136000,False,0.118,0.302,1,-17.098,0,0.0441,0.387,0.98,0.299,0.0357,80.809,4,sleep
42,5YBvrvu8Je4ROa8S4FWBBS,Jubiläumscast Wien 2012,Elisabeth - Gesamtaufnahme Live - Jubiläumsfassung,Nur kein genieren,23,184106,False,0.475,0.465,0,-11.497,0,0.391,0.675,0.0,0.736,0.689,130.055,4,show-tunes
43,3PCxhIgCchP5iXMmdEN6IH,Drei Meter Feldweg,"Sommer, Sonne, Bier","Sommer, Sonne, Bier",36,218080,False,0.573,0.971,10,-3.137,1,0.0581,0.00768,0.0,0.192,0.802,107.546,4,punk-rock
44,19pZBVcKIpZe6DqpzTEPCM,Adriatique;Marino Canal,All I Ever Wanted,Accordia,39,368386,False,0.752,0.602,5,-9.475,0,0.0593,0.00189,0.916,0.0871,0.277,122.996,4,deep-house
45,1K8wuukCdlJPDgwfgsO1i8,Deströyer 666,Phoenix Rising,The Eternal Glory of War,16,319866,False,0.145,0.995,1,-5.952,1,0.235,4.77e-06,0.348,0.649,0.0346,179.832,3,black-metal
46,76Je5Wklky23mVoxiRszcN,Foo Fighters,Wasting Light,Walk,70,255960,False,0.234,0.865,9,-5.131,1,0.0516,3.62e-05,0.000532,0.289,0.194,137.107,4,grunge
47,11SSeXk05lkzcVttnquVCH,The Lemonheads,It's A Shame About Ray (Expanded Edition),Hannah & Gabi - DemoVersion,22,146280,False,0.407,0.228,2,-16.722,1,0.0385,0.756,0.0146,0.407,0.527,77.809,4,power-pop
48,30qTRckUlXl8flA2y0eq6l,Quadro Nuevo,MARE,Plage À Trois,16,243784,False,0.482,0.192,10,-15.351,1,0.0365,0.927,0.748,0.125,0.198,120.941,3,tango
49,573Z2Dty5epeNgKsgoDOlr,Deep Purple,Deep Purple in Rock (Anniversary Edition),Child in Time - 1995 Remaster,57,613440,False,0.344,0.497,9,-9.295,0,0.0366,0.0167,0.453,0.108,0.356,127.707,4,psych-rock
50,2f2m3bsLP8OFdIXTTwm2Tp,Felix Da Housecat,Devin Dazzle & The Neon Fever,Nitelife Funworld,9,100133,False,0.645,0.745,3,-9.735,1,0.191,0.176,0.0,0.381,0.895,145.946,4,chicago-house
51,2r94LHyx7wZyvB6mUDgvZI,Catupecu Machu,Laberintos Entre Aristas Y Dialectos,Entero O A Pedazos - Acustico,38,306546,False,0.519,0.468,10,-7.287,1,0.0357,0.563,0.0,0.702,0.352,101.204,4,punk
52,40KUzcToZooV3Gair9v4I9,Flora Matos,FLORA DE CONTROLE,CHEI DE GATA,42,159937,True,0.8,0.724,1,-8.101,0,0.0404,0.388,0.000145,0.125,0.685,134.945,4,r-n-b
53,55FhVdCYYc7Ksa0ronjHeQ,Ronald Cheng,怪胎,無賴,46,243000,False,0.639,0.659,4,-5.356,1,0.0307,0.456,0.0,0.235,0.54,111.024,4,cantopop
54,0abrZlp7Tjat7QRg7hn4ME,Jack Hylton & His Orchestra,On the Sunny Side of the Street (1930-1931),Life Is Just a Bowl of Cherries,23,174200,False,0.572,0.346,1,-14.834,0,0.0439,0.993,0.83,0.137,0.697,77.286,4,j-dance
55,7MghdcQcQvYdiA74yUdren,El Bruto,Happy Hardcore Top 100,Let Yourself Go - Mix Cut,18,181480,False,0.739,0.806,1,-5.748,1,0.251,0.00113,0.497,0.279,0.363,155.903,4,happy
56,2pT2pVFAn2qufD8s46viok,Fabian Mazur;Snavs,Actuation ADE 2022 Pre-Party,The Pit,0,152500,True,0.513,0.834,8,-5.802,1,0.134,0.0101,0.000128,0.331,0.179,150.098,4,electronic
57,2sW8fmnISifQTRgnRrQTYW,Portishead,Dummy,Roads,63,303973,False,0.607,0.294,5,-11.836,1,0.0764,0.778,0.162,0.106,0.192,76.083,4,trip-hop
58,7rYkucFvSGUfikoADR1YiY,Julio Sosa;Leopoldo Federico y su Orquesta,Esenciales,Que Me Van a Hablar de Amor (with Leopoldo Federico y Su Orquesta),16,193853,False,0.413,0.554,5,-10.044,1,0.129,0.92,1.82e-06,0.617,0.64,80.729,3,tango
59,13ORo6nuNhNLniacmJVocI,Deicide,Serpents of the Light,The Truth Above,20,165573,False,0.243,0.968,1,-5.706,1,0.135,0.00966,0.952,0.162,0.0792,100.255,4,black-metal
60,3Ppea74HmbMtdNAoCXRKR2,Alphaxone,Ghost Machine,Derelict,6,378062,False,0.166,0.246,8,-23.682,0,0.0554,0.849,0.898,0.168,0.0469,113.05,3,iranian
61,3HKiR4t12GW18bnPUVhx5l,Seven Lions;Wooli;Trivecta;Nevve,Island (feat. Nevve),Island (feat. Nevve),51,278400,False,0.427,0.836,5,-3.323,0,0.0466,0.0456,0.00238,0.369,0.248,150.128,4,dubstep
62,5KFUEdsfmZ1GoymuU3QAtn,Wednesday 13,Condolences,"You Breathe, I Kill",22,182933,False,0.463,0.974,7,-3.885,1,0.0749,0.00014,0.00137,0.107,0.231,193.96,4,industrial
63,5fLs3oLeJhpbTDtxJXmCH6,Frei.Wild,Feinde deiner Feinde (Gold Edition),Wir reiten in den Untergang,39,258006,False,0.544,0.947,4,-3.707,0,0.0931,0.0103,0.0,0.221,0.373,113.943,4,german
64,4ou4f3FZex2hUo3QEg7JOk,Viveck Ji;Shantra,Graamatthu Ponnu,Graamatthu Ponnu,44,252100,False,0.86,0.816,9,-5.237,0,0.0531,0.15,0.0,0.143,0.951,135.014,4,malay
65,7CCldPeZu4xzCogGuevo4K,Fiskales Ad-Hok,Lindo Momento Frente al Caos,Lindo Momento,36,145746,False,0.487,0.954,10,-3.899,0,0.137,0.0604,0.0137,0.329,0.428,111.152,4,hard-rock
66,0oA9wBGDY4uyILLg4GymWP,AnnenMayKantereit;Giant Rooks,Tom's Diner,Tom's Diner,78,269333,False,0.68,0.428,6,-8.107,0,0.135,0.376,0.000344,0.355,0.334,98.222,4,singer-songwriter
67,0RbT8j37JiZZbAtpJGYVry,Jonas Blue;JP Cooper,Electro sounds,Perfect Strangers,0,196613,False,0.735,0.863,1,-4.079,1,0.0458,0.393,0.0,0.271,0.728,118.029,4,house
68,3GmVvoNGooqTx3fV2H1rjU,Armin van Buuren,ASOT 1090 - A State Of Trance Episode 1090,A State Of Trance (ASOT 1090) - Outro,32,36170,False,0.429,0.829,0,-9.952,1,0.509,0.0973,0.0,0.287,0.555,72.434,3,progressive-house
