,Artists,Popularity (mean),Number of songs in dataset,Country of origin,Genres
0,Bizarrap,99.0,1,Argentine,Hip-Hop
1,Quevedo,99.0,1,Espagne,Hip-Hop
2,Harry Styles,92.0,3,Angleterre,Pop
3,Beach Weather,90.0,1,États-Unis,Rock
4,Luar La L,90.0,4,États-Unis,Latino
5,Polimá Westcoast,88.0,1,Chili,Latino
6,Pablo Pesadilla,88.0,1,Chili,Latino
7,Olivia Rodrigo,87.0,5,États-Unis,Pop
8,Lewis Capaldi,87.0,1,Écosse,Pop
9,Byor,87.0,4,Pays-Bas,Electro
10,Yung Gravy,87.0,1,États-Unis,Hip-Hop
11,Ruth B.,86.0,2,Canada,Pop
12,Benson Boone,86.0,1,États-Unis,Pop
13,Buscabulla,86.0,2,États-Unis,Latino
14,Dina Rae,86.0,1,États-Unis,Hip-Hop
