artist_track,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Tomorrow X Together - Opening sequence,71.0,177976,0.0,0.609,0.64,3.0,-5.61,0,0.0539,0.167,0.0,0.0959,0.442,145.199,4
Cavetown - Meteor shower,71.0,265010,0.0,0.512,0.488,5.0,-10.31,1,0.0328,0.428,5.1e-05,0.109,0.141,170.017,3
Bts - We are bulletproof : the eternal,71.0,261542,0.0,0.522,0.574,9.0,-5.225,0,0.0317,0.224,0.0,0.108,0.176,84.044,4
"Teqkoi, Aiko - You broke my heart again",71.0,103400,0.0,0.55,0.143,3.0,-15.685,1,0.241,0.956,0.0,0.195,0.224,74.918,4
Alice In Chains - Nutshell,71.0,259200,0.0,0.384,0.561,3.0,-10.059,0,0.0296,0.373,0.253,0.0775,0.159,136.136,3
The Neighbourhood - Baby came home 2 / valentines,71.0,390493,0.0,0.21,0.499,2.0,-9.754,0,0.0485,0.0687,0.00315,0.773,0.108,74.094,4
Mos Def - Ms. fat booty,71.0,223546,1.0,0.782,0.589,1.0,-4.827,1,0.189,0.148,0.0,0.164,0.869,90.438,4
Yuuri - ドライフラワー,71.0,286360,0.0,0.463,0.603,7.0,-5.464,1,0.0276,0.495,0.0,0.167,0.477,148.089,4
Amaria Bb - Slow motion,71.0,166000,1.0,0.733,0.479,11.0,-9.27,0,0.301,0.575,0.00053,0.0831,0.485,88.742,4
Bts - I need u,71.0,210986,0.0,0.478,0.88,5.0,-3.097,0,0.0739,0.0213,0.0,0.24,0.707,158.356,4
The Cars - Just what i needed,71.0,225626,0.0,0.619,0.579,4.0,-9.307,1,0.0473,0.0152,6.4e-05,0.0858,0.69,127.224,4
Jony - Love your voice,71.0,150329,0.0,0.608,0.83,9.0,-5.396,0,0.0956,0.597,3.4e-06,0.118,0.211,91.088,4
"Plk, Oboy - Attentat",71.0,194266,1.0,0.844,0.656,7.0,-5.935,0,0.216,0.192,1.82e-05,0.115,0.398,99.983,4
The Score - Legend,71.0,189120,0.0,0.601,0.757,2.0,-3.341,1,0.028,0.0139,8.85e-05,0.0727,0.462,82.001,4
"Hillsong United, Taya - Oceans",71.0,536000,0.0,0.264,0.363,2.0,-10.196,1,0.0338,0.501,0.00406,0.11,0.0613,124.328,4
Lonestar - Amazed,71.0,240866,0.0,0.561,0.543,1.0,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803,4
Pink Floyd - Time,71.0,413947,0.0,0.359,0.48,9.0,-11.79,1,0.0841,0.521,0.0043,0.178,0.355,120.285,4
Mountain - Mississippi queen,71.0,151293,0.0,0.581,0.624,9.0,-8.346,1,0.0777,0.0987,0.0,0.0411,0.637,139.714,4
Dj Snake - U are my high,71.0,180480,0.0,0.503,0.783,0.0,-4.761,0,0.0385,0.0221,0.00223,0.14,0.213,125.122,4
Rascal Flatts - What hurts the most,71.0,214106,0.0,0.537,0.674,5.0,-5.134,0,0.0277,0.0088,0.0,0.265,0.33,136.002,4
Calle 13 - Muerte en hawaii,71.0,189866,0.0,0.675,0.588,3.0,-7.168,1,0.177,0.789,0.0,0.95,0.879,79.989,4
Prettymuch - Eyes off you,71.0,204266,0.0,0.631,0.512,0.0,-9.675,0,0.0572,0.511,0.0,0.0827,0.529,106.027,4
Enhypen - Given-taken,71.0,183090,0.0,0.631,0.649,8.0,-4.939,0,0.0377,0.17,0.0,0.321,0.459,108.07,4
Boyz Ii Men - End of the road,71.0,351466,0.0,0.64,0.427,5.0,-9.29,0,0.0241,0.0664,0.0,0.0579,0.529,149.703,3
Jeff Buckley - Hallelujah,71.0,413826,0.0,0.324,0.136,0.0,-10.33,1,0.0318,0.931,0.00117,0.176,0.0831,97.256,3
Twice - Scientist,71.0,194600,0.0,0.786,0.858,11.0,-3.74,1,0.0675,0.0487,0.0,0.126,0.649,112.999,4
Pink Floyd - Breathe,71.0,169534,0.0,0.431,0.373,11.0,-15.142,0,0.0346,0.389,0.728,0.143,0.253,128.153,4
The Beach Boys - Kokomo,71.0,217692,0.0,0.682,0.635,0.0,-10.05,1,0.0346,0.00863,0.0,0.137,0.927,115.584,4
Michael Bublé - Home,71.0,225906,0.0,0.608,0.37,7.0,-9.207,1,0.0306,0.844,1.87e-05,0.112,0.349,127.631,4
Pearl Jam - Last kiss,71.0,195466,0.0,0.622,0.692,7.0,-6.97,1,0.0276,0.363,0.000158,0.193,0.774,112.053,4
Enhypen - Blessed-cursed,71.0,170805,0.0,0.604,0.886,4.0,-3.523,0,0.061,0.0925,0.0,0.596,0.401,127.098,4
