,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,cluster_genres,cluster_attributs,artist_track
0,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,acoustic,24,3,Gen Hoshino - Comedy
3,6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't help falling in love,71,201933,False,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3,acoustic,24,6,Kina Grannis - Can't help falling in love
4,5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold on,82,198853,False,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,4,acoustic,24,6,Chord Overstreet - Hold on
6,6Vc5wAMmXdKIAM7WUoEb7N,"A Great Big World, Christina Aguilera",Is There Anybody Out There?,Say something,74,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,acoustic,24,6,"A Great Big World, Christina Aguilera - Say something"
7,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm yours,80,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,24,2,Jason Mraz - I'm yours
8,0IktbUcnAGrvD03AWnz3Q8,"Jason Mraz, Colbie Caillat",We Sing. We Dance. We Steal Things.,Lucky,74,189613,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,acoustic,24,2,"Jason Mraz, Colbie Caillat - Lucky"
10,4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Episode,Give me your forever,74,244800,False,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,4,acoustic,24,6,Zack Tabudlo - Give me your forever
20,3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm yours,75,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,24,2,Jason Mraz - I'm yours
32,08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,Pano,75,254400,False,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,3,acoustic,24,6,Zack Tabudlo - Pano
84,38YgZVHPWOWsKrsCXz6JyP,Matt Nathanson,Some Mad Hope,Come on get higher,71,215173,False,0.672,0.623,9,-5.699,1,0.0297,0.241,0.0,0.0848,0.617,92.018,4,acoustic,24,2,Matt Nathanson - Come on get higher
90,5p9XWUdvbUzmPCukOmwoU3,Kt Tunstall,Eye To The Telescope,Suddenly i see,73,201706,False,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,4,acoustic,24,2,Kt Tunstall - Suddenly i see
111,4E6cwWJWZw2zWf7VFbH7wf,Sara Bareilles,Little Voice,Love song,73,258826,False,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,4,acoustic,24,3,Sara Bareilles - Love song
185,5MYPzdIWgx3pMLRGlq2fVq,Zack Tabudlo,Asan Ka Na Ba,Asan ka na ba,73,241132,False,0.676,0.768,5,-5.695,0,0.0294,0.149,0.00147,0.345,0.493,105.999,4,acoustic,24,3,Zack Tabudlo - Asan ka na ba
357,7jIAttgQTpLDoNtykIQXjH,Violent Femmes,Violent Femmes,Blister in the sun,71,145706,False,0.726,0.537,0,-8.896,1,0.114,0.316,0.0,0.0707,0.882,96.889,4,acoustic,24,2,Violent Femmes - Blister in the sun
641,1q8NdCAQ9QUjpYiqzdd3mv,Calle 13,Calle 13 (Explicit Version),Atrévete-te-te,75,239306,True,0.829,0.878,9,-5.951,1,0.101,0.0959,0.0,0.776,0.883,87.991,4,afrobeat,26,5,Calle 13 - Atrévete-te-te
656,3kNVYo6BJE9AENxzokM9YC,Calle 13,Entren Los Que Quieran,Muerte en hawaii,71,189866,False,0.675,0.588,3,-7.168,1,0.177,0.789,0.0,0.95,0.879,79.989,4,afrobeat,26,0,Calle 13 - Muerte en hawaii
689,1TdaQqgKRbiFdO15q1kv6e,Los Amigos Invisibles,Repeat After Me,La que me gusta,71,239626,False,0.721,0.833,7,-7.469,1,0.0777,0.122,0.000115,0.135,0.549,100.005,4,afrobeat,26,2,Los Amigos Invisibles - La que me gusta
716,5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Wiped Out!,Daddy issues,87,260173,False,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4,alt-rock,23,2,The Neighbourhood - Daddy issues
717,2Y0iGXY6m6immVb2ktbseM,Mgmt,Little Dark Age,Little dark age,83,299960,False,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4,alt-rock,23,2,Mgmt - Little dark age
718,2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,86,206280,False,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4,alt-rock,23,3,The Neighbourhood - Softcore
719,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater weather,93,240400,False,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,alt-rock,23,2,The Neighbourhood - Sweater weather
720,7zwn1eykZtZ5LODrf7c0tS,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,You get me so high,83,153000,False,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,4,alt-rock,23,3,The Neighbourhood - You get me so high
721,7vguMCv8uVuZLiQJ156u3Z,"Sam Tinnesz, Yacht Money",Play with Fire (feat. Yacht Money),Play with fire (feat. yacht money),76,180690,False,0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16e-05,0.105,0.39,75.012,4,alt-rock,23,3,"Sam Tinnesz, Yacht Money - Play with fire"
722,4gHnSNHs8RyVukKoWdS99f,Nirvana,Nevermind (Remastered),Something in the way,76,232146,False,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4,alt-rock,23,6,Nirvana - Something in the way
