,Genres musicaux,Nombre de morceaux,Popularité moyenne
0,Afrobeat,999,24.0
1,Alternative rock,2997,36.0
2,Blues,998,31.0
3,Chansons de films et humour,2994,38.0
4,Country,3978,24.0
5,Dance,4955,30.0
6,Disco,1000,34.0
7,Divers,9891,30.0
8,Drum & bass,996,27.0
9,Electro,2993,38.0
10,Funk,1000,32.0
11,Hip-hop,991,38.0
12,House,3994,34.0
13,Indie,3997,39.0
14,Jazz,999,14.0
15,K-pop et musiques contemporaines d'asie,6987,39.0
16,Metal,4992,34.0
17,Musique classique,1925,19.0
18,Musiques d'ambiance,3992,41.0
19,Musiques du monde,14942,38.0
20,Musiques pour enfants,3987,32.0
21,Pop,1993,42.0
22,Punk,4996,34.0
23,"Reggae, dancehall",3997,38.0
24,Reggaeton et musiques latines,6981,24.0
25,Rnb,1000,37.0
26,Rock,5989,33.0
27,"Soul, gospel",2996,33.0
28,Techno,3994,28.0
29,Trance,999,38.0
30,Trip-hop,997,34.0
