,Artistes,Popularité moyenne,Nombre total de morceaux,Genres musicaux,Top 10 des artistes ayant le plus de morceaux dans le jeu de données
0,Chuck Berry,5.0,46,Blues,2150
1,Chuck Berry,3.0,43,R-n-b,2150
2,Chuck Berry,10.0,49,Rock-n-roll,2150
3,Chuck Berry,13.0,52,Rockabilly,2150
4,Ella Fitzgerald,0.0,110,Jazz,2150
5,Ella Fitzgerald,1.0,111,Blues,2150
6,Feid,3.0,37,Pop,2150
7,Feid,14.0,44,Latino,2150
8,Feid,16.0,42,Reggaeton,2150
9,Feid,3.0,38,Latin,2150
10,Feid,13.0,40,Reggae,2150
11,George Jones,17.0,260,Honky-tonk,2150
12,Håkan Hellström,0.0,3,Indie-pop,2150
13,Håkan Hellström,37.0,41,Swedish,2150
14,Håkan Hellström,31.0,139,Goth,2150
15,Linkin Park,65.0,32,Alternative,2150
16,Linkin Park,52.0,131,Grunge,2150
17,Linkin Park,61.0,61,Metal,2150
18,OneRepublic,18.0,55,Rock,2150
19,OneRepublic,90.0,2,Pop,2150
20,OneRepublic,36.0,124,Piano,2150
21,Prateek Kuhad,52.0,23,Indie,2150
22,Prateek Kuhad,48.0,30,Indie-pop,2150
23,Prateek Kuhad,52.0,24,Indian,2150
24,Prateek Kuhad,44.0,49,Singer-songwriter,2150
25,Prateek Kuhad,44.0,41,Folk,2150
26,Prateek Kuhad,70.0,1,Pop,2150
27,Stevie Wonder,1.0,85,Soul,2150
28,Stevie Wonder,1.0,73,Indie,2150
29,Stevie Wonder,1.0,85,Funk,2150
30,The Beatles,60.0,149,Psych-rock,2150
31,The Beatles,61.0,127,British,2150
32,The Beatles,61.0,3,Rock,2150
